"Date","Residual"
2012-08-31,-0.335555061878585
2012-09-07,-0.0617867428157037
2012-09-14,-0.141262669121948
2012-09-21,-0.141243581671053
2012-09-28,1.20132063881006
2012-10-05,-0.296728139818951
2012-10-12,0.365386152980371
2012-10-19,0.370573414224974
2012-10-26,-0.126941231946584
2012-11-02,-0.814930804188877
2012-11-09,-0.922338587811663
2012-11-16,0.882581495566588
2012-11-23,-0.292169236186061
2012-11-30,0.158581694327094
2012-12-07,0.445736086298776
2012-12-14,-0.100736078056461
2012-12-21,-0.0492753812602828
2012-12-28,-0.376867606278383
2013-01-04,0.190800463663093
2013-01-11,-0.0692910001211783
2013-01-18,0.0758976717823031
2013-01-25,-0.0966773371580818
2013-02-01,0.0207223594946484
2013-02-08,-0.247683688743425
2013-02-15,0.44498882614093
2013-02-22,-0.287727779583407
2013-03-01,0.0608261412939993
2013-03-08,0.376576168491278
2013-03-15,-0.300755338695065
2013-03-22,0.0511419988359836
2013-03-29,-0.0670290865875601
2013-04-05,0.448030773590051
2013-04-12,-0.216984722131558
2013-04-19,-0.0347907145918809
2013-04-26,-0.111667856896636
2013-05-03,-0.182640726885386
2013-05-10,-0.225174528283403
2013-05-17,0.101927975635255
2013-05-24,0.0744715097789683
2013-05-31,-0.356020455253181
2013-06-07,0.401115230716201
2013-06-14,0.103414201732737
2013-06-21,0.0548216144948118
2013-06-28,-0.542296121234818
2013-07-05,-0.143517883220621
2013-07-12,0.113598799549159
2013-07-19,0.234049423760803
2013-07-26,0.489677347000037
2013-08-02,0.758667391320264
2013-08-09,-0.225475143170023
2013-08-16,-1.1894671451487
2013-08-23,0.179634364498573
2013-08-30,-0.314131510103934
2013-09-06,0.381441526673303
2013-09-13,0.314539034412776
2013-09-20,0.1840010759889
2013-09-27,-0.118596079002519
2013-10-04,0.208074147540082
2013-10-11,0.294522781889154
2013-10-18,-0.0753704433455572
2013-10-25,-1.24125734643953
2013-11-01,1.25175855924593
2013-11-08,0.153591667061984
2013-11-15,-0.828811195645485
2013-11-22,-0.337160622172436
2013-11-29,0.0703484545405103
2013-12-06,0.368078844017585
2013-12-13,-0.17609974983262
2013-12-20,0.0950702424156369
